CHOYP_ARP2.1.1|m.43520
CHOYP_PHUM_PHUM498110.1.1|m.60692
CHOYP_RL23A.3.6|m.31005
CHOYP_IF2A.1.1|m.13279
CHOYP_BRAFLDRAFT_129885.1.2|m.24564
CHOYP_SUCB2.1.1|m.7164
CHOYP_LOC100373141.1.1|m.11194
CHOYP_LOC100891656.1.1|m.62466
CHOYP_GNBPB3.1.1|m.55379
CHOYP_ISCW_ISCW014398.1.3|m.15838
CHOYP_BRAFLDRAFT_121562.1.1|m.37267
CHOYP_RL10A.1.2|m.7633
CHOYP_EF1B.1.7|m.26504
CHOYP_contig_040750|m.46306
CHOYP_LOC658201.1.1|m.42880
CHOYP_MTHR.1.1|m.54596
CHOYP_PHUM_PHUM226120.5.7|m.43551
CHOYP_PCKG.1.2|m.43784
CHOYP_BRAFLDRAFT_126603.1.1|m.31078
CHOYP_RS19.3.12|m.15295
CHOYP_LOC373275.4.7|m.47547
CHOYP_BRAFLDRAFT_287353.1.1|m.46293
CHOYP_LIGO2.1.2|m.3525
CHOYP_UGPA.1.1|m.49579
CHOYP_G6PD.2.2|m.46923
CHOYP_ACADL.1.1|m.5508
CHOYP_BRAFLDRAFT_118310.1.1|m.8287
CHOYP_TRAP1.1.1|m.60651
CHOYP_BRAFLDRAFT_125780.1.1|m.60450
CHOYP_GZF1.1.2|m.7747
CHOYP_LOC100375022.1.1|m.3033
CHOYP_Y0417.2.2|m.29395
CHOYP_BLMH.1.1|m.66065
CHOYP_LOC100368639.1.1|m.56563
CHOYP_IF2H.1.1|m.18253
CHOYP_BRAFLDRAFT_58194.1.1|m.27050
CHOYP_MCM4.1.1|m.61254
CHOYP_PPBT.1.4|m.5115
CHOYP_NAGLU.2.2|m.60267
CHOYP_contig_020023|m.23276
CHOYP_LOC100123907.1.1|m.2987
CHOYP_CGL.1.2|m.31960
CHOYP_LA.1.1|m.65962
CHOYP_LOC100708054.1.1|m.57813
CHOYP_SC24C.1.1|m.9387
CHOYP_LOC589479.2.2|m.57247
CHOYP_NEMVEDRAFT_V1G168163.1.1|m.63148
CHOYP_LOC659226.1.3|m.16864
