PROTID	sample 27
CHOYP_LOC100377856.2.2|m.43339	30
CHOYP_LOC100903522.1.3|m.2296	30
CHOYP_KS6A1.1.1|m.38386	30
CHOYP_LOC100370520.1.1|m.12258	30
CHOYP_DVIR_GJ21252.1.1|m.10086	30
CHOYP_PRS8.1.1|m.40757	30
CHOYP_CAPZB.1.1|m.5762	30
CHOYP_ADHX.1.1|m.60159	30
CHOYP_CDC42.1.11|m.324	30
CHOYP_DSEC_GM19691.1.1|m.30070	30
CHOYP_BRAFLDRAFT_279923.1.1|m.65663	30
CHOYP_LOC100862999.1.1|m.11759	30
CHOYP_LOC100879250.1.1|m.24381	30
CHOYP_LOC754557.1.2|m.5492	30
CHOYP_ABCE1.1.2|m.7437	30
CHOYP_AGAP_AGAP005942.1.3|m.3157	30
CHOYP_LS14A.2.3|m.10984	30
CHOYP_LOC659206.1.6|m.3536	30
CHOYP_MCM2.1.1|m.14569	30
CHOYP_BRAFLDRAFT_270300.1.1|m.59680	30
CHOYP_BRAFLDRAFT_86801.1.1|m.27107	30
CHOYP_HS90A.3.3|m.28300	30
CHOYP_BRAFLDRAFT_272416.1.1|m.56641	30
CHOYP_F10A1.2.4|m.11805	30
CHOYP_PSMC6.1.1|m.13888	30
CHOYP_ABCE1.2.2|m.42246	30
CHOYP_PACN2.2.2|m.25018	30
CHOYP_BRAFLDRAFT_118260.1.1|m.13621	29
CHOYP_CAT.1.1|m.57038	29
CHOYP_FAAA.1.1|m.7653	29
CHOYP_ND1.2.5|m.36938	29
CHOYP_BRAFLDRAFT_275870.1.1|m.12895	29
CHOYP_CRE-DIG-1.1.1|m.26794	29
CHOYP_LOC551931.1.1|m.9934	29
CHOYP_LOC587700.1.1|m.42534	29
CHOYP_LOC100646574.1.1|m.55144	29
CHOYP_DVIR_GJ23521.1.1|m.2757	29
CHOYP_LOC587610.3.3|m.27175	29
CHOYP_STIP1.1.2|m.12856	29
CHOYP_LOC100373484.1.1|m.8540	29
CHOYP_LOC101439509.1.1|m.65851	29
CHOYP_GIPC1.1.1|m.60630	29
CHOYP_LOC663855.2.5|m.747	29
CHOYP_LOC101169658.1.3|m.18820	29
CHOYP_PHUM_PHUM596890.1.1|m.10989	29
CHOYP_DDB1.1.1|m.59135	29
CHOYP_LOC100370637.1.2|m.12891	29
CHOYP_LOC100695151.2.2|m.30573	29
CHOYP_contig_039285|m.44499	29
K22E_HUMAN	29
CHOYP_STIP1.2.2|m.54723	29
CHOYP_LOC100366813.1.6|m.2829	29
CHOYP_LOC100373842.4.4|m.40731	29
CHOYP_LOC100114636.1.1|m.11052	28
CHOYP_BRAFLDRAFT_215361.1.1|m.55455	28
CHOYP_BRAFLDRAFT_268929.1.1|m.35239	28
CHOYP_AP1G1.1.1|m.13111	28
CHOYP_LOC100329078.1.3|m.26927	28
CHOYP_SNX2.1.1|m.25425	28
CHOYP_MYO6.1.1|m.4131	28
CHOYP_ISCW_ISCW012010.1.1|m.27251	28
CHOYP_SF3B1.1.3|m.24001	28
CHOYP_LOC100633077.4.4|m.62658	28
CHOYP_TNNI.3.3|m.56962	28
CHOYP_LOC101164482.1.1|m.44586	28
CHOYP_LOC100373864.1.2|m.16543	28
CHOYP_contig_039966|m.45203	28
CHOYP_BRAFLDRAFT_126943.1.3|m.6839	28
CHOYP_SMP_051990.7.7|m.57569	27
CHOYP_LOC100691144.1.1|m.47006	27
CHOYP_DPSE_GA15574.1.1|m.62967	27
CHOYP_COX5B.3.3|m.38557	27
CHOYP_BRAFLDRAFT_69005.1.1|m.26462	27
CHOYP_RCC1.1.1|m.15249	27
CHOYP_QARS.2.2|m.18038	27
CHOYP_BRAFLDRAFT_60329.1.1|m.18239	27
CHOYP_CBX1.1.4|m.5390	27
CHOYP_MYO7A.1.3|m.59205	27
CHOYP_GPMA.1.1|m.35689	27
CHOYP_NEMVEDRAFT_V1G173950.1.1|m.13512	27
CHOYP_LOC100368865.1.1|m.48101	27
CHOYP_CAH2.1.1|m.42306	27
CHOYP_LOC100370896.4.4|m.56380	27
CHOYP_LOC100881900.1.3|m.1852	27
CHOYP_ATP5C1.1.1|m.16222	27
